fly,neuron,absolute_prominence,prominence_multiplier,spikes,r150,peak_abs_lag_ms,peak_abs_r,method_version
a2_d_12,a2_l,11.25,1.5,21754,-0.4466696004903579,170,-0.4522182805291376,epoch-isolated-sensitivity/v2
a2_d_12,a2_l,15.0,2.0,8602,-0.3514383202816555,170,-0.3553076186688462,epoch-isolated-sensitivity/v2
a2_d_12,a2_l,18.75,2.5,772,-0.1988992116663629,210,-0.20297408489369245,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,5.625,0.75,26827,0.48634871924361245,180,0.4985192882683188,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,7.5,1.0,23349,0.5185950804417025,180,0.5309704617655433,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,9.375,1.25,22476,0.5229293503491158,180,0.5353656349374628,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,11.25,1.5,22142,0.5203501634646562,180,0.5327925745508587,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,15.0,2.0,17142,0.4969015159285517,180,0.5063069941502032,epoch-isolated-sensitivity/v2
a2_d_12,a2_r,18.75,2.5,6555,0.41538924995146376,170,0.41832687281082104,epoch-isolated-sensitivity/v2
a2_d_13,a2_l,5.625,0.75,4486,-0.09944024192939699,180,-0.10489145442632956,epoch-isolated-sensitivity/v2
a2_d_13,a2_l,7.5,1.0,1723,-0.1393963178743936,170,-0.14211793850332916,epoch-isolated-sensitivity/v2
a2_d_13,a2_l,9.375,1.25,1119,-0.14777436386170503,170,-0.15093182900386648,epoch-isolated-sensitivity/v2
a2_d_13,a2_l,11.25,1.5,927,-0.1595517947522123,170,-0.1616177466327311,epoch-isolated-sensitivity/v2
a2_d_13,a2_l,15.0,2.0,856,-0.1695921032045184,160,-0.1712466242359544,epoch-isolated-sensitivity/v2
a2_d_13,a2_l,18.75,2.5,853,-0.16971181594812382,160,-0.17139279530785204,epoch-isolated-sensitivity/v2
a2_d_13,a2_r,5.625,0.75,6050,0.18212375338958056,160,0.18429153006472707,epoch-isolated-sensitivity/v2
a2_d_13,a2_r,7.5,1.0,3902,0.2198811949473661,170,0.2252790463481319,epoch-isolated-sensitivity/v2
a2_d_13,a2_r,9.375,1.25,3133,0.24681965339590853,170,0.2537795261926218,epoch-isolated-sensitivity/v2
a2_d_13,a2_r,11.25,1.5,2753,0.2572974433707122,170,0.26404708570207747,epoch-isolated-sensitivity/v2
a2_d_13,a2_r,15.0,2.0,2565,0.26507308808351693,170,0.27242245338700105,epoch-isolated-sensitivity/v2
a2_d_13,a2_r,18.75,2.5,2544,0.2655358879728103,170,0.2728374125461393,epoch-isolated-sensitivity/v2
a1_a2_d_02,a2_l,5.625,0.75,56463,-0.43485356975498857,190,-0.45824171872227276,epoch-isolated-sensitivity/v2
a1_a2_d_02,a2_l,7.5,1.0,33244,-0.3644349319147687,190,-0.3771357573038755,epoch-isolated-sensitivity/v2
a1_a2_d_02,a2_l,9.375,1.25,7920,-0.27062743987588905,180,-0.2747771402960756,epoch-isolated-sensitivity/v2
a1_a2_d_02,a2_l,11.25,1.5,956,-0.18354639964250885,180,-0.18512857432716998,epoch-isolated-sensitivity/v2
a1_a2_d_02,a2_l,15.0,2.0,14,-0.07173560869335709,260,-0.07385112230265511,epoch-isolated-sensitivity/v2
a1_a2_d_02,a2_l,18.75,2.5,0,nan,nan,nan,epoch-isolated-sensitivity/v2
a1_a2_d_02,a1_l,4.3125,0.75,36647,-0.3941890412437037,110,-0.4010055318594354,epoch-isolated-sensitivity/v2
a1_a2_d_02,a1_l,5.75,1.0,21993,-0.32086262101396096,100,-0.32914035831351435,epoch-isolated-sensitivity/v2
a1_a2_d_02,a1_l,7.1875,1.25,9508,-0.23469151885244902,110,-0.23839930066190812,epoch-isolated-sensitivity/v2
a1_a2_d_03,a2_l,5.625,0.75,65638,-0.4326302474734538,210,-0.45819098547982995,epoch-isolated-sensitivity/v2
a1_a2_d_03,a2_l,7.5,1.0,62534,-0.4286180353937198,210,-0.4547522587955224,epoch-isolated-sensitivity/v2
a1_a2_d_03,a2_l,9.375,1.25,45864,-0.4441027487508701,200,-0.4650582403458889,epoch-isolated-sensitivity/v2
a1_a2_d_03,a2_l,11.25,1.5,19678,-0.4192379206449339,190,-0.43062968130317586,epoch-isolated-sensitivity/v2
a1_a2_d_03,a2_l,15.0,2.0,1670,-0.27535500260525114,190,-0.2768269354372144,epoch-isolated-sensitivity/v2
a1_a2_d_03,a2_l,18.75,2.5,166,-0.16731281775961837,220,-0.17200142369369847,epoch-isolated-sensitivity/v2
a1_a2_d_03,a1_l,4.3125,0.75,66150,-0.40008948873861044,160,-0.40059340901736684,epoch-isolated-sensitivity/v2
a1_a2_d_03,a1_l,5.75,1.0,59791,-0.3912029291402709,160,-0.3919317798770282,epoch-isolated-sensitivity/v2
a1_a2_d_03,a1_l,7.1875,1.25,42438,-0.38793335540699253,160,-0.3888541368861445,epoch-isolated-sensitivity/v2
a2_d_14,a2_l,5.625,0.75,16910,-0.19449300731004132,150,-0.19449300731004132,epoch-isolated-sensitivity/v2
a2_d_14,a2_l,7.5,1.0,9074,-0.25663820979582047,160,-0.25675042656668406,epoch-isolated-sensitivity/v2
a2_d_14,a2_l,9.375,1.25,7101,-0.28655026188399113,160,-0.2870020046806227,epoch-isolated-sensitivity/v2
a2_d_14,a2_l,11.25,1.5,6750,-0.2907984924678376,160,-0.29122854917698227,epoch-isolated-sensitivity/v2
a2_d_14,a2_l,15.0,2.0,6675,-0.28900422443864654,160,-0.2893100268402293,epoch-isolated-sensitivity/v2
a2_d_14,a2_l,18.75,2.5,5835,-0.2743237701079106,160,-0.2744973461810565,epoch-isolated-sensitivity/v2
a2_d_14,a2_r,5.625,0.75,22841,0.31731671741702067,180,0.3217599466575562,epoch-isolated-sensitivity/v2
a2_d_14,a2_r,7.5,1.0,16208,0.34544281383316044,170,0.3505488441858889,epoch-isolated-sensitivity/v2
a2_d_14,a2_r,9.375,1.25,15170,0.34692799202318253,170,0.3518807213100118,epoch-isolated-sensitivity/v2
a2_d_14,a2_r,11.25,1.5,14924,0.33677801542476493,170,0.34165753802097,epoch-isolated-sensitivity/v2
