fly,neuron,type,side,mat_channel,spikes,rate_mean_Hz,rate_no_stim_mean_Hz,fraction_ISI_under2ms,prominence,author_quality_flag,noise_scale_median_mV,noise_scale_p05_mV,zero_mad_blocks,yaw_r0,yaw_r150,yaw_shift1_r150,yaw_shift2_r150,yaw_peak_abs_r,yaw_peak_abs_lag_ms,fwd_r0,fwd_r150,fwd_shift1_r150,fwd_shift2_r150,lat_r0,lat_r150,lat_shift1_r150,lat_shift2_r150,yaw_counts_r150,yaw_vm_r150,rate_vm_r0,n_valid_r150,numerical_valid,status,analysis_status,reasons,reason,metrics_computed,yaw_r150_third1,yaw_r150_third2,yaw_r150_third3,record_complete,author_reference_eligible,main_summary_eligible
a2_s_01,a2_l,DNa02,left,ephys_A,30036,10.44737702523148,10.443705244991266,0.0,7.5,,0.20321092681784647,0.19949599208683214,0.0,-0.1680641011001705,-0.3005774831644207,-0.00649146597587304,-0.0010268502558762722,-0.3366542410746778,210,-0.05707189732884701,-0.06978784936177512,-0.015870287284333366,-0.0017875676725066332,-0.15489639879252393,-0.2524931419128657,-0.012315922858026207,-0.00570406473535911,-0.20323909464285048,-0.23157708558417048,0.7001578733319831,287383,True,usable,usable,[],required_correlations_numerically_valid,True,-0.436476535443376,-0.24867123492621807,-0.19575803544611264,True,True,True
a2_s_07,a2_l,DNa02,left,ephys_A,21851,11.875672561658279,11.876692514328594,0.0,7.5,,0.2121503059993694,0.2081991333114759,0.0,-0.16423583518469725,-0.247677580512819,-0.0006065109179325752,0.024339926648759967,-0.2557901111933874,190,-0.12419503888044085,-0.1165847732310058,0.01261377421197555,0.019567706575130326,-0.14139575827276998,-0.19637141783405504,-0.0019545053141995423,0.03311099920611702,-0.18341945793244865,-0.2739891373971166,0.8569076200713358,183883,True,usable,usable,[],required_correlations_numerically_valid,True,-0.4214901826399474,-0.1412664845791928,-0.19452666518351677,True,True,True
a2_s_08,a2_l,DNa02,left,ephys_A,39434,13.716269330569256,13.717562404748815,0.0,7.5,,0.19423929951104998,0.19057396894784007,0.0,-0.10637803162005446,-0.2354091749071834,-0.024006104852702166,-0.006057878206627164,-0.2454088975701795,180,0.001965418038661213,0.0002939588909614443,-0.02328078865138376,-0.011074260557752206,-0.14388895208414368,-0.22644173607045415,-0.021524641813960025,-0.008651118531108296,-0.15410242934149543,-0.13913014393648748,0.6728797476574089,287383,True,usable,usable,[],required_correlations_numerically_valid,True,-0.23331852436072698,-0.2064328410044483,-0.26897838883290565,True,True,True
a1_a2_d_01,a2_l,DNa02,left,ephys_A,51416,14.903274801593053,14.905248870353077,0.0,7.5,,0.15393474702917462,0.15228556754314965,0.0,-0.04156297707137701,-0.12029490042799688,0.003820044507366468,0.013148435939775535,-0.136563975618071,-200,0.14898083425272968,0.16341726026793837,-0.016221202106702907,-0.019322954522405785,-0.10475491896269823,-0.14516821877132546,0.025879672480782278,0.037690985118449316,-0.08003173234968104,-0.060136592022567326,0.5148138246534182,344768,True,usable,usable,[],required_correlations_numerically_valid,True,-0.3255293592260382,-0.0036667776192153357,0.09531464687239274,True,True,True
a1_a2_d_01,a1_l,DNa01,left,ephys_B,73523,21.311138035582815,21.31566888439028,0.0,5.75,,0.16445893021512661,0.16260767035850637,0.0,-0.01396934856560567,-0.002032376985872864,0.013129928846555056,0.024084568721406036,-0.07033063802593498,-500,0.21907237546875152,0.2124401024315823,-0.03669341545046668,-0.037478368411831685,-0.1355051281900023,-0.12538375082293904,0.056674374597904635,0.0635827930535811,-0.0015060839132969442,-0.015986855250030067,0.6597576465615426,344768,True,usable,usable,[],required_correlations_numerically_valid,True,-0.2360735363711349,0.08651782029602154,0.22683566133378524,True,True,True
a2_d_08,a2_l,DNa02,left,ephys_A,32006,9.277155229885391,8.099392663069025,0.0,7.5,,0.15258161043031984,0.15100492394304094,0.0,-0.09407040844821822,-0.23527109787018774,0.003156826532096953,0.006330696621758637,-0.24255641968399502,180,0.03147940762557523,0.005552504337646718,0.01850262613978781,0.001292744626766867,-0.1275472595415259,-0.24239056055081507,0.0007089764173624618,0.0031248483599358363,-0.15761694990552697,-0.11367727567306343,0.5275207697170367,314583,True,usable,usable,[],required_correlations_numerically_valid,True,-0.2969519940169039,-0.21845379924592026,-0.1242101378667766,True,True,True
a2_d_08,a2_r,DNa02,right,ephys_B,22158,6.4226459283821935,5.427799610151114,0.0,7.5,,0.17008214676480518,0.16807626202941672,0.0,0.06520353145423864,0.23458528582683266,0.013766640337990008,0.016779719586973375,0.2501645918120146,190,-0.0408566744588971,-0.026599498878333874,0.015463285657420155,-0.016253250046752175,0.10014095517321751,0.24875935464691562,0.007133402388748998,0.027335124789355632,0.15470251102854293,0.10602007927954657,0.0913758781009749,314583,True,usable,usable,[],required_correlations_numerically_valid,True,0.30400206045548633,0.204795920553446,0.1685759855538082,True,True,True
a2_d_12,a2_l,DNa02,left,ephys_A,26955,18.030341543030676,17.416689577334356,0.0,7.5,,0.1799774610630849,0.1780705742440559,0.0,-0.25357226348279677,-0.4687802352988456,-0.01281458315748301,-0.011866093593832103,-0.4757088501685616,170,0.11594060866447731,0.12829779677576988,-0.001500126756207807,0.033710872845659046,-0.30277094041399716,-0.4628791489039302,-0.009709162765562567,-0.01845729121315528,-0.29722372490422205,-0.1978461772881366,0.4513056719798405,136253,True,usable,usable,[],required_correlations_numerically_valid,True,-0.4476937017522623,-0.5008215374710407,-0.45982992467644246,True,True,True
a2_d_12,a2_r,DNa02,right,ephys_B,23349,15.61826914072429,14.989364626893748,0.0,7.5,,0.19994380386794952,0.19757275418317655,0.0,0.3249861867678229,0.5185950804417025,0.006003783600326351,0.00507715385207505,0.5309704617655433,180,-0.03422096209122557,-0.06426560947143442,0.04018151344174394,-0.002110688859050495,0.32557907650179585,0.491857865879009,0.006512510904144349,0.00991909416116946,0.3412813101228066,0.46386261814777546,0.837258160980511,136253,True,usable,usable,[],required_correlations_numerically_valid,True,0.46169172101973444,0.5263912943896554,0.5583752009072269,True,True,True
a2_d_13,a2_l,DNa02,left,ephys_A,1723,2.9966259695989423,2.8230818486572,0.0,7.5,,0.09308042710643055,0.09223861974220496,0.0,-0.0014077827656227987,-0.1393963178743936,0.0021417348343072415,-0.028385161947283598,-0.14211793850332916,170,0.02160635652766059,0.04587504861509543,-0.03348956332122172,0.04957968872521025,-0.0156907479549288,-0.1217054793590514,-0.0024300230512216596,-0.036010316155135544,-0.08128394446515981,-0.2135050430661456,0.6661924561381797,52333,True,usable,usable,[],required_correlations_numerically_valid,True,-0.08239209339726673,-0.07989788926617179,-0.20182118569730034,True,True,True
a2_d_13,a2_r,DNa02,right,ephys_B,3902,6.786323002539219,6.139590945045011,0.0,7.5,,0.12199504363654459,0.1206322043958179,0.0,0.038615253729927405,0.2198811949473661,0.018141958837696488,-0.09291460689387616,0.2252790463481319,170,0.051535723779365716,0.037602707713539844,0.003770549831006479,0.12449897301262361,0.04486772245338865,0.187478441047286,0.01073736413781934,-0.07400266804064484,0.1347392559070496,0.1562166257826155,0.7588303737676858,52333,True,usable,usable,[],required_correlations_numerically_valid,True,0.37362166051185897,0.12480913763575045,0.10199914344202173,True,True,True
a1_a2_d_02,a2_l,DNa02,left,ephys_A,33244,22.943035790694143,22.949212005690686,0.0,7.5,author_DNa01_spike_detection_difficult,0.30823677357547635,0.3049702824856791,0.0,-0.18026309540421473,-0.3644349319147687,-0.003124340642765173,0.0015671973352933076,-0.3771357573038755,190,0.06269951773910884,0.05887256781958779,0.03822364572677396,0.011343095715637859,-0.22073343814678312,-0.3621176342666811,-0.014364653075709234,0.0017178962983748606,-0.1969178638174101,-0.4214432852150009,0.4883344754945007,144783,True,usable,usable,[],required_correlations_numerically_valid,True,-0.4251613321729525,-0.43606130275910254,-0.2280155695596638,True,True,True
a1_a2_d_02,a1_l,DNa01,left,ephys_B,21993,15.178263330066667,15.178386441801683,0.0,5.75,author_DNa01_spike_detection_difficult,0.26380368639167007,0.26105518440539394,0.0,-0.30103414434480097,-0.32086262101396096,-0.0006011758051008843,0.020811574559710853,-0.32914035831351435,100,0.0991977802020351,0.10639795755993293,0.025799338723853933,0.02497447265854063,-0.33542585540507514,-0.34952941558331335,-0.007829384666246053,0.0110614663712255,-0.18046236569397803,-0.11217449743397026,-0.31762377772203404,144783,True,usable,usable,[],required_correlations_numerically_valid,True,-0.42730351628478497,-0.3531285570836758,-0.17715778480612887,True,True,True
a1_a2_d_03,a2_l,DNa02,left,ephys_A,62534,25.174920893082874,25.16693650371731,0.0,7.5,,0.24422839658929646,0.24137268234288495,0.0,-0.2718540301856176,-0.4286180353937198,0.01521154437724284,-0.0009492573903535891,-0.4547522587955224,210,0.027054539888364162,0.011981318932143128,-0.048651495164833795,0.002483423392409732,-0.31399385447015793,-0.4183525638044631,0.052871297847100124,0.013959586619489551,-0.2687885311490548,-0.27226690735104847,0.7838732952454464,248283,True,usable,usable,[],required_correlations_numerically_valid,True,-0.5126377503572929,-0.4103587088408513,-0.5048029001865416,True,True,True
a1_a2_d_03,a1_l,DNa01,left,ephys_B,59791,24.070644691181087,24.072686852089024,0.0,5.75,,0.2421904446685983,0.23921636474795283,0.0,-0.3243960062935691,-0.3912029291402709,0.0028557197234909157,0.00857606391336528,-0.3919317798770282,160,0.14033383506535807,0.1693536756426264,-0.06295917742330048,-0.03464718153789652,-0.44353138279520266,-0.5111038432148316,0.05131485606553267,0.03869370419676182,-0.22794942367122015,-0.25884044804160694,0.7910952815935568,248283,True,usable,usable,[],required_correlations_numerically_valid,True,-0.41438040059207354,-0.4382988427228059,-0.5362185351428304,True,True,True
a2_d_14,a2_l,DNa02,left,ephys_A,9074,6.26233626413063,5.803884683716277,0.0,7.5,author_physiology_LOW_SNR_REJECT,0.12020542496962686,0.11891062995599525,0.0,-0.09848365064783839,-0.25663820979582047,0.005966451204416099,-0.002786637003912599,-0.25675042656668406,160,0.19608742842850954,0.19184081929323835,-0.004858156097257041,-0.031031437358781156,-0.16128636802967983,-0.3055079166406913,0.012484150576529615,0.01811776163180398,-0.17116857583109643,-0.1148125405551697,0.42579393442557606,132057,True,usable,usable,[],required_correlations_numerically_valid,True,-0.058353443631303285,-0.3615209696526933,-0.1692736780756088,True,False,False
a2_d_14,a2_r,DNa02,right,ephys_B,16208,11.185799665971924,10.736626804616234,0.0,7.5,author_physiology_LOW_SNR_REJECT,0.1353289378018016,0.1339230522540178,0.0,0.2226443403398093,0.34544281383316044,-0.0197208378435185,-0.001200595248189355,0.3505488441858889,170,0.015450916523430098,0.04878243351282514,-0.02216253625220835,-0.0071485878943758005,0.23240259421839116,0.3087876658376228,-0.010567114690557577,0.015051235011346486,0.21359835837211502,0.10746158902825387,0.2549126318918727,132057,True,usable,usable,[],required_correlations_numerically_valid,True,0.11502753534461028,0.47104016658519204,0.24887289928080608,True,False,False
a1_d_07,a1_l,DNa01,left,ephys_A,46004,26.66929471646048,26.400331038633713,2.1737712757863617e-05,5.75,,0.18044750292460665,0.17841953277480369,0.0,-0.17112176205555382,-0.25174939016598086,0.030102151255294984,0.00482400053390297,-0.2533578986458799,170,0.4468500686912714,0.49128213733531045,-0.006553627529021421,-0.030616053750967813,-0.29423702484315606,-0.38844450228812116,0.04100988569110116,0.0074937021133397895,-0.11625873977119183,-0.10755229944346625,0.5412962725032141,157233,True,usable,usable,[],required_correlations_numerically_valid,True,-0.17214138506496565,-0.2907787802744227,-0.2778721719111578,True,True,True
a1_d_07,a1_r,DNa01,right,ephys_B,35995,20.866908601838862,20.287401722905614,0.0,5.75,,0.17719034259653135,0.17511741113458712,0.0,0.08221363866872856,0.15486993686103495,0.014894274851069447,4.6687244108716106e-05,0.15486993686103495,150,0.2433067026572571,0.26381069793757,0.0050474710553460415,0.005381400884418175,0.07803691377531352,0.10137048876969797,0.01179281118727222,-0.007563782269709141,0.06633845877981853,0.10711894420946369,0.7473111536467659,157233,True,usable,usable,[],required_correlations_numerically_valid,True,0.1864348472608915,0.14509207523747752,0.15811949678915213,True,True,True
a1_d_09,a1_l,DNa01,left,ephys_A,22089,7.683183883018317,7.617206598018789,0.0,5.75,author_spike_detection_difficult,0.16807279170418457,0.16591846612218336,0.0,-0.16555652229350645,-0.21289104523918218,-0.0003002835321338062,-0.014164249405189566,-0.21289104523918218,150,0.0443029035607626,0.06593228662529328,0.018373045120499806,0.01410673962801606,-0.18356605676750992,-0.22892059163623815,-0.015440748171453212,-0.014040865560506308,-0.09830741227855878,-0.11626670370861909,-0.05419151507822244,262133,True,usable,usable,[],required_correlations_numerically_valid,True,-0.24080456487185103,-0.22506159270944895,-0.20511193426326557,True,True,True
a1_d_09,a1_r,DNa01,right,ephys_B,81364,28.300718613694706,27.93176330773455,0.0,5.75,author_spike_detection_difficult,0.29548485635765287,0.2916842668957881,0.0,0.28348299019706585,0.34660175539564664,0.0032346107118701208,0.0008295496331765086,0.34714449786022217,160,-0.053442088394934584,-0.040068313753621014,-0.005820267814144643,-0.005262730634277443,0.3332728583422432,0.38620612255027614,0.0013646007119985741,-0.0077517789431255915,0.18000677420031594,0.2873844966212531,0.8322035095544587,262133,True,usable,usable,[],required_correlations_numerically_valid,True,0.32318261781737817,0.303733202869578,0.4785105293540937,True,True,True
a1_a2_d_04,a2_l,DNa02,left,ephys_A,40069,11.614270227653494,11.618976908218725,2.495819502333591e-05,7.5,,0.16540220677196293,0.16347573977546892,0.0,-0.11497390751649751,-0.2988934546014083,-0.0016827983282185707,-0.0049104106225088765,-0.299760463799536,160,0.010560813505915916,0.03492166831841813,-0.006436108336577458,0.0026432813510564247,-0.15374662249828822,-0.33398280794179014,0.0017287783791927172,-0.009589644892418482,-0.19893657946085724,-0.2053278306707104,0.39290684585932967,344768,True,usable,usable,[],required_correlations_numerically_valid,True,-0.3169281659719974,-0.3259940825545619,-0.2670175349912885,True,True,True
a1_a2_d_04,a1_l,DNa01,left,ephys_B,38670,11.208760630496409,11.209171746935887,0.0,5.75,,0.14065347389305707,0.1389806484719227,0.0,-0.14101383535346887,-0.17456397554303685,-0.01952854305492875,-0.016492444105664743,-0.17992002415731123,110,0.033700454920789484,0.0842182246310899,-0.03192120038714546,-0.02562249310012076,-0.1633223578270642,-0.21563408492739466,-0.010627701374354205,-0.007087058402720145,-0.07850078135884636,-0.12078192519186282,0.48956335231313947,344768,True,usable,usable,[],required_correlations_numerically_valid,True,-0.19311181176212014,-0.21922470328448473,-0.11675743739283045,True,True,True
