fly,file,file_id,author_quality_flag,author_reference_eligible,status,analysis_status,processing_status,expected_channels,expected_pair_series,reasons,source_md5_verified,mat_fields,source_clock_resets,epoch_durations_s,time_coordinate,ephys_hz,ball_hz,available_ephys_s,analyzed_s,start_s,end_s,bins,author_spike_arrays,neurons,fwd_lat_raw_exact_equal_fraction,stim_bin_fraction,stim_unknown_bin_fraction,stim_unknown_bins,valid_no_stim_s,stim_min,stim_max,record_complete,observed_channels,numerically_valid_channels,observed_pair_series,numerically_valid_pair_series,expected_channel_count,observed_channel_count,expected_pair_count,observed_pair_count,reason,processing_seconds,analysis_complete,main_summary_eligible
a2_s_01,170804_gfp_ss730_01_data_for_SH_with_lat_vel.mat,11634642,,True,usable,usable,completed,"[""a2_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2875.0,source_seconds,4000,100,2875.0,2874.98,0.01,2874.9900000000002,287498,absent,a2_l,0.0,0.0,0.0,0,2873.98,0.0,0.0,True,"[""a2_l""]","[""a2_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,3.4752581119537354,True,True
a2_s_07,170808_gfp_ss730_07_data_for_SH_with_lat_vel.mat,11634647,,True,usable,usable,completed,"[""a2_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1840.0,source_seconds,4000,100,1840.0,1839.98,0.01,1839.99,183998,absent,a2_l,0.0,0.0,0.0,0,1838.98,0.0,0.0,True,"[""a2_l""]","[""a2_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,2.002390146255493,True,True
a2_s_08,170808_gfp_ss730_08_data_for_SH_with_lat_vel.mat,11634648,,True,usable,usable,completed,"[""a2_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2875.0,source_seconds,4000,100,2875.0,2874.98,0.01,2874.9900000000002,287498,absent,a2_l,0.0,0.0,0.0,0,2873.98,0.0,0.0,True,"[""a2_l""]","[""a2_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,3.406190872192383,True,True
a1_a2_d_01,170816_2xGFP_ss731_75C10_01_data_for_SH_with_lat_vel.mat,11634626,,True,usable,usable,completed,"[""a2_l"", ""a1_l""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",[],True,ans;ball_SR;ephys_A;ephys_B;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,1,1725.0;1725.0,concatenated_epoch_index_seconds,10000,100,3450.0,3449.98,0.01,3449.9900000000002,344998,absent,a2_l;a1_l,0.0,0.0,0.0,0,3447.98,0.0,0.0,True,"[""a2_l"", ""a1_l""]","[""a2_l"", ""a1_l""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",2,2,3,3,all_required_outputs_numerically_valid,14.258856296539307,True,True
a2_d_08,180410_gfp_3G_ss730_dual_08_data_for_SH_with_lat_vel.mat,11634638,,True,usable,usable,completed,"[""a2_l"", ""a2_r""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",[],True,ball_SR;ephys_A;ephys_B;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,3450.0,source_seconds,10000,100,3450.0,3449.98,0.01,3449.9900000000002,344998,absent,a2_l;a2_r,0.0,0.04434808317729378,0.0,0,3190.98,0.0,5.0,True,"[""a2_l"", ""a2_r""]","[""a2_l"", ""a2_r""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",2,2,3,3,all_required_outputs_numerically_valid,17.1732280254364,True,True
a2_d_12,180430_gfp_3G_ss730_dual_12_data_for_SH_with_lat_vel.mat,11634639,,True,usable,usable,completed,"[""a2_l"", ""a2_r""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",[],True,ball_SR;ephys_A;ephys_B;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1495.0,source_seconds,10000,100,1495.0,1494.98,0.01,1494.99,149498,absent,a2_l;a2_r,0.0,0.04434841937684785,0.0,0,1382.18,0.0,5.0,True,"[""a2_l"", ""a2_r""]","[""a2_l"", ""a2_r""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",2,2,3,3,all_required_outputs_numerically_valid,6.990249872207642,True,True
a2_d_13,180501_gfp_3G_ss730_dual_13_data_for_SH_with_lat_vel.mat,11634640,,True,usable,usable,completed,"[""a2_l"", ""a2_r""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",[],True,ball_SR;ephys_A;ephys_B;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,575.0,source_seconds,10000,100,575.0,574.98,0.01,574.99,57498,absent,a2_l;a2_r,0.0,0.044349368673693,0.0,0,530.98,0.0,5.0,True,"[""a2_l"", ""a2_r""]","[""a2_l"", ""a2_r""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",2,2,3,3,all_required_outputs_numerically_valid,2.651214122772217,True,True
a1_a2_d_02,180503_2xGFP_ss731_75C10_02_data_for_SH_with_lat_vel.mat,11634627,author_DNa01_spike_detection_difficult,True,usable,usable,completed,"[""a2_l"", ""a1_l""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",[],True,ans;ball_SR;ephys_A;ephys_B;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1449.0,source_seconds,10000,100,1449.0,1448.98,0.01,1448.99,144898,absent,a2_l;a1_l,0.0,0.0,0.0,0,1447.98,0.0,0.0,True,"[""a2_l"", ""a1_l""]","[""a2_l"", ""a1_l""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",2,2,3,3,all_required_outputs_numerically_valid,6.207126140594482,True,True
a1_a2_d_03,180503_2xGFP_ss731_75C10_03_data_for_SH_with_lat_vel.mat,11634628,,True,usable,usable,completed,"[""a2_l"", ""a1_l""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",[],True,ans;ball_SR;ephys_A;ephys_B;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2484.0,source_seconds,10000,100,2484.0,2483.98,0.01,2483.9900000000002,248398,absent,a2_l;a1_l,0.0,0.0,0.0,0,2482.98,0.0,0.0,True,"[""a2_l"", ""a1_l""]","[""a2_l"", ""a1_l""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",2,2,3,3,all_required_outputs_numerically_valid,11.865254878997803,True,True
a2_d_14,180517_gfp_3G_ss730_dual_14_data_for_SH_with_lat_vel.mat,11634641,author_physiology_LOW_SNR_REJECT,False,usable,usable,completed,"[""a2_l"", ""a2_r""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",[],True,ball_SR;ephys_A;ephys_B;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1449.0,source_seconds,10000,100,1449.0,1448.98,0.01,1448.99,144898,absent,a2_l;a2_r,0.0,0.044348438211707544,0.0,0,1339.62,0.0,5.0,True,"[""a2_l"", ""a2_r""]","[""a2_l"", ""a2_r""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]","[""a2_l_rate->a2_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",2,2,3,3,all_required_outputs_numerically_valid,6.900697231292725,True,False
a1_d_07,180603_gfp_3G_ss731_dual_07_data_for_SH_with_lat_vel.mat,11634630,,True,usable,usable,completed,"[""a1_l"", ""a1_r""]","[""a1_l_rate->a1_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",[],True,ball_SR;ephys_A;ephys_B;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1725.0,source_seconds,10000,100,1725.0,1724.98,0.01,1724.99,172498,absent,a1_l;a1_r,0.0,0.04434834027061183,0.0,0,1594.98,0.0,5.0,True,"[""a1_l"", ""a1_r""]","[""a1_l"", ""a1_r""]","[""a1_l_rate->a1_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]","[""a1_l_rate->a1_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",2,2,3,3,all_required_outputs_numerically_valid,6.971457242965698,True,True
a1_d_09,180614_gfp_3G_ss731_dual_09_data_for_SH_with_lat_vel.mat,11634631,author_spike_detection_difficult,True,usable,usable,completed,"[""a1_l"", ""a1_r""]","[""a1_l_rate->a1_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",[],True,ball_SR;ephys_A;ephys_B;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2875.0,source_seconds,10000,100,2875.0,2874.98,0.01,2874.9900000000002,287498,absent,a1_l;a1_r,0.0,0.04434813459571893,0.0,0,2658.98,0.0,5.0,True,"[""a1_l"", ""a1_r""]","[""a1_l"", ""a1_r""]","[""a1_l_rate->a1_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]","[""a1_l_rate->a1_r_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",2,2,3,3,all_required_outputs_numerically_valid,13.525383949279785,True,True
a1_a2_d_04,190313_2xGFP_ss731_75C10_04_data_for_SH_with_lat_vel.mat,11634629,,True,usable,usable,completed,"[""a2_l"", ""a1_l""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",[],True,ans;ball_SR;ephys_A;ephys_B;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,1,1725.0;1725.0,concatenated_epoch_index_seconds,10000,100,3450.0,3449.98,0.01,3449.9900000000002,344998,absent,a2_l;a1_l,0.0,0.0,0.0,0,3447.98,0.0,0.0,True,"[""a2_l"", ""a1_l""]","[""a2_l"", ""a1_l""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]","[""a2_l_rate->a1_l_rate"", ""A_minus_B->yaw"", ""A_plus_B->yaw""]",2,2,3,3,all_required_outputs_numerically_valid,16.08550000190735,True,True
