group_id,canonical,leg,joint,bodyId,type,instance,somaSide,somaNeuromere,display_evidence_class,legacy_comparison,physiological_action_in_this_cell_measured
T2L:knee_extensor,knee_extensor,T2L,femur-tibia,801234,Ti extensor MN,Ti extensor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,802295,Ti flexor MN,Ti flexor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,809670,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,818295,Ti flexor MN,Ti flexor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,819674,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,823739,Ti flexor MN,Ti flexor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,824041,Ti flexor MN,Ti flexor MN_L,L,T2,confirmed_direction_candidate,different_muscle_label_same_mapped_action,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,825485,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T2,annotation_only,legacy_target_missing,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,830480,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,908094,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,927808,Ti flexor MN,Ti flexor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:knee_flexor,knee_flexor,T2L,femur-tibia,1051356801,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:root_pra,root_pra,T2L,thorax-coxa,800541,Pleural remotor/abductor MN,Pleural remotor/abductor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:root_pra,root_pra,T2L,thorax-coxa,902492,Pleural remotor/abductor MN,Pleural remotor/abductor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:root_pra,root_pra,T2L,thorax-coxa,905421,Pleural remotor/abductor MN,Pleural remotor/abductor MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:root_sad,root_sad,T2L,thorax-coxa,816018,Sternal adductor MN,Sternal adductor MN_L,L,T2,annotation_only,different_joint_or_action,False
T2L:root_sar,root_sar,T2L,thorax-coxa,832490,Sternal anterior rotator MN,Sternal anterior rotator MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:root_sar,root_sar,T2L,thorax-coxa,903689,Sternal anterior rotator MN,Sternal anterior rotator MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:root_spr,root_spr,T2L,thorax-coxa,801768,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:root_spr,root_spr,T2L,thorax-coxa,803226,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:root_spr,root_spr,T2L,thorax-coxa,803704,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2L:root_spr,root_spr,T2L,thorax-coxa,1051054875,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2R:knee_extensor,knee_extensor,T2R,femur-tibia,830514,Ti extensor MN,Ti extensor MN_R,R,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2R:knee_extensor,knee_extensor,T2R,femur-tibia,928579,Ti extensor MN,Ti extensor MN_R,R,T2,annotation_only,legacy_target_missing,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,804405,Ti flexor MN,Ti flexor MN_R,R,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,805010,Ti flexor MN,Ti flexor MN_R,R,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,805568,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,812531,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,816222,Ti flexor MN,Ti flexor MN_R,R,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,822013,Ti flexor MN,Ti flexor MN_R,R,T2,annotation_only,legacy_target_unresolved,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,903363,Ti flexor MN,Ti flexor MN_R,R,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,905235,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T2,annotation_only,legacy_target_missing,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,907848,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,909255,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T2,annotation_only,legacy_target_unresolved,False
T2R:knee_flexor,knee_flexor,T2R,femur-tibia,1052521030,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T2,annotation_only,legacy_target_unresolved,False
T2R:root_pra,root_pra,T2R,thorax-coxa,800776,Pleural remotor/abductor MN,Pleural remotor/abductor MN_R,R,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T2R:root_pra,root_pra,T2R,thorax-coxa,803499,Pleural remotor/abductor MN,Pleural remotor/abductor MN_R,R,T2,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
