bodyId,leg,current_type,current_mancType,mancBodyid,legacy_systematic_type,legacy_target,legacy_exit_nerve,legacy_class,comparison,maleCNS_leg_MN_same_manc_id_count,legacy_source_line,decision
824997,T2R,ltm MN,ltm MN,162830,MNml19,ltm1-tibia,MesoLN_R,motor neuron,long_tendon_location_or_granularity_difference,1,220,retain_as_separate_legacy_correspondence; no_overwrite
852673,T2R,ltm2-femur MN,ltm2-femur MN,13033,MNml23,ltm,MesoLN_R,motor neuron,long_tendon_location_or_granularity_difference,1,127,retain_as_separate_legacy_correspondence; no_overwrite
1051680335,T3L,,,13192,MNhl21,Ti flexor,MetaLN_L,motor neuron,legacy_named_current_unresolved,1,284,retain_as_separate_legacy_correspondence; no_overwrite
817374,T3L,Acc. ti flexor MN,Acc. ti flexor MN,163009,MNhl73,hind leg,MetaLN_L,motor neuron,current_named_legacy_unresolved,1,362,retain_as_separate_legacy_correspondence; no_overwrite
843389,T3L,Acc. ti flexor MN,Acc. ti flexor MN,21186,MNhl07,Tr flexor,MetaLN_L,motor neuron,different_joint_or_action,1,338,retain_as_separate_legacy_correspondence; no_overwrite
934519,T3L,Acc. ti flexor MN,Acc. ti flexor MN,25599,MNhl63,hind leg,MetaLN_L,motor neuron,current_named_legacy_unresolved,1,306,retain_as_separate_legacy_correspondence; no_overwrite
1050123559,T3L,Acc. ti flexor MN,Acc. ti flexor MN,27733,MNhl04,ltm,MetaLN_L,motor neuron,different_joint_or_action,1,347,retain_as_separate_legacy_correspondence; no_overwrite
809604,T3L,Acc. tr flexor MN,Acc. tr flexor MN,162913,MNhl07,Tr flexor,MetaLN_L,motor neuron,different_muscle_label_same_mapped_action,1,337,retain_as_separate_legacy_correspondence; no_overwrite
821154,T3L,Acc. tr flexor MN,Acc. tr flexor MN,13095,MNhl66,hind leg,MetaLN_L,motor neuron,current_named_legacy_unresolved,1,274,retain_as_separate_legacy_correspondence; no_overwrite
1050038433,T3L,Acc. tr flexor MN,Acc. tr flexor MN,37741,MNhl72,hind leg,MetaLN_L,motor neuron,current_named_legacy_unresolved,1,352,retain_as_separate_legacy_correspondence; no_overwrite
1050730563,T3L,Acc. tr flexor MN,Acc. tr flexor MN,24668,MNhl12,Tr flexor,MetaLN_L,motor neuron,different_muscle_label_same_mapped_action,1,327,retain_as_separate_legacy_correspondence; no_overwrite
1051236875,T3L,Acc. tr flexor MN,Acc. tr flexor MN,23117,MNhl05,Tr flexor,MetaLN_L,motor neuron,different_muscle_label_same_mapped_action,1,343,retain_as_separate_legacy_correspondence; no_overwrite
807160,T3L,MNhl01,MNhl01,221983,MNhl01,hind leg,AbN1_L,motor neuron,both_muscle_unresolved,1,308,retain_as_separate_legacy_correspondence; no_overwrite
816501,T3L,MNhl02,MNhl02,27479,MNhl62,hind leg,AbN1_L,motor neuron,both_muscle_unresolved,1,331,retain_as_separate_legacy_correspondence; no_overwrite
804078,T3L,MNhl29,MNhl29,102123,MNhl29,hind leg,MetaLN_L,motor neuron,both_muscle_unresolved,1,302,retain_as_separate_legacy_correspondence; no_overwrite
802731,T3L,MNhl59,MNhl59,11809,MNhl59,hind leg,MetaLN_L,motor neuron,both_muscle_unresolved,1,254,retain_as_separate_legacy_correspondence; no_overwrite
1050274189,T3L,MNhl60,MNhl60,100824,MNhl69,hind leg,MetaLN_L,motor neuron,both_muscle_unresolved,1,353,retain_as_separate_legacy_correspondence; no_overwrite
801736,T3L,MNhl62,MNhl62,11813,MNhl02,hind leg,AbN1_L,motor neuron,both_muscle_unresolved,1,244,retain_as_separate_legacy_correspondence; no_overwrite
822252,T3L,MNhl64,MNhl64,29474,MNhl64,hind leg,MetaLN_L,motor neuron,both_muscle_unresolved,1,291,retain_as_separate_legacy_correspondence; no_overwrite
936696,T3L,MNhl65,MNhl65,19480,MNhl65,hind leg,MetaLN_L,motor neuron,both_muscle_unresolved,1,280,retain_as_separate_legacy_correspondence; no_overwrite
811137,T3L,MNhl87,MNhl87,17761,MNhl87,hind leg,MetaLN_L,motor neuron,both_muscle_unresolved,1,310,retain_as_separate_legacy_correspondence; no_overwrite
804847,T3L,MNhl88,MNhl88,17905,MNhl88,hind leg,MetaLN_L,motor neuron,both_muscle_unresolved,1,293,retain_as_separate_legacy_correspondence; no_overwrite
902310,T3L,Pleural remotor/abductor MN,Pleural remotor/abductor MN,15278,MNhl34,Sternal posterior rotator,MetaLN_L,motor neuron,different_joint_or_action,2,247,retain_as_separate_legacy_correspondence; no_overwrite
801492,T3L,Sternal posterior rotator MN,Sternal posterior rotator MN,14168,MNhl17,Pleural remotor/abductor,MetaLN_L,motor neuron,different_joint_or_action,1,295,retain_as_separate_legacy_correspondence; no_overwrite
801715,T3L,Sternal posterior rotator MN,Sternal posterior rotator MN,18286,MNhl31,Pleural remotor/abductor,MetaLN_L,motor neuron,different_joint_or_action,2,299,retain_as_separate_legacy_correspondence; no_overwrite
803147,T3L,Ti flexor MN,Ti flexor MN,176866,MNhl28,Acc. ti flexor,MetaLN_L,motor neuron,different_muscle_label_same_mapped_action,2,258,retain_as_separate_legacy_correspondence; no_overwrite
804919,T3L,Ti flexor MN,Ti flexor MN,176866,MNhl28,Acc. ti flexor,MetaLN_L,motor neuron,different_muscle_label_same_mapped_action,2,258,retain_as_separate_legacy_correspondence; no_overwrite
819112,T3L,Ti flexor MN,Ti flexor MN,15893,MNhl23,ltm,MetaLN_L,motor neuron,different_joint_or_action,1,313,retain_as_separate_legacy_correspondence; no_overwrite
929376,T3L,Ti flexor MN,Ti flexor MN,14339,MNhl68,hind leg,MetaLN_L,motor neuron,current_named_legacy_unresolved,1,239,retain_as_separate_legacy_correspondence; no_overwrite
1050166426,T3L,Ti flexor MN,Ti flexor MN,15038,MNhl26,Acc. ti flexor,MetaLN_L,motor neuron,different_muscle_label_same_mapped_action,1,268,retain_as_separate_legacy_correspondence; no_overwrite
823405,T3L,ltm MN,ltm MN,19074,MNhl27,Acc. ti flexor,MetaLN_L,motor neuron,different_joint_or_action,1,265,retain_as_separate_legacy_correspondence; no_overwrite
1050080384,T3L,ltm MN,ltm MN,14343,MNhl15,ltm2-femur,MetaLN_L,motor neuron,long_tendon_location_or_granularity_difference,1,297,retain_as_separate_legacy_correspondence; no_overwrite
801932,T3R,,,12758,MNhl26,Acc. ti flexor,MetaLN_R,motor neuron,legacy_named_current_unresolved,2,269,retain_as_separate_legacy_correspondence; no_overwrite
852881,T3R,,,23390,MNhl04,ltm,MetaLN_R,motor neuron,legacy_named_current_unresolved,1,342,retain_as_separate_legacy_correspondence; no_overwrite
