dataset,versioned_body_id,bodyId,type,instance,leg_position_from_subclass,subclass,somaSide,rootSide,somaNeuromere,exitNerve,superclass,mancBodyid,mancType,mancSerial,mcnsSerial,serialMotif,matchingNotes,status,statusLabel,leg,joint,anatomical_action,action_source,muscle_label_available,action_known,muscle_identity_evidence,legacy_targets,legacy_match_count,physiological_action_in_this_cell_measured
male-cns:v1.0,male-cns:v1.0:808640,808640,Sternal posterior rotator MN,Sternal posterior rotator MN_L,front,fl,L,,T1,ProAN,vnc_motor,29689,Sternal posterior rotator MN,11400.0,800962.0,,,Traced,Reviewed,T1L,thorax-coxa,coxa_posterior_movement_or_axial_rotation,Azevedo 2024 Appendix A1 p3; A4 pp18-19,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Sternal posterior rotator,1,False
male-cns:v1.0,male-cns:v1.0:1050335829,1050335829,Sternal posterior rotator MN,Sternal posterior rotator MN_L,front,fl,L,,T1,ProAN,vnc_motor,,Sternal posterior rotator MN,21241.0,,,,Traced,Reviewed,T1L,thorax-coxa,coxa_posterior_movement_or_axial_rotation,Azevedo 2024 Appendix A1 p3; A4 pp18-19,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,,0,False
male-cns:v1.0,male-cns:v1.0:801685,801685,Sternotrochanter MN,Sternotrochanter MN_L,front,fl,L,,T1,VProN,vnc_motor,100515,Sternotrochanter MN,13069.0,801375.0,,,Traced,Reviewed,T1L,coxa-trochanter,extension,Azevedo 2024 Appendix A1 p3; A6 pp22-23,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Sternotrochanter,1,False
male-cns:v1.0,male-cns:v1.0:802361,802361,Sternotrochanter MN,Sternotrochanter MN_L,front,fl,L,,T1,VProN,vnc_motor,18579,Sternotrochanter MN,18006.0,800504.0,,,Traced,Reviewed,T1L,coxa-trochanter,extension,Azevedo 2024 Appendix A1 p3; A6 pp22-23,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Sternotrochanter,1,False
male-cns:v1.0,male-cns:v1.0:817655,817655,Ta depressor MN,Ta depressor MN_L,front,fl,L,,T1,ProLN,vnc_motor,,Ta depressor MN,,,,,Traced,Reviewed,T1L,tibia-tarsus,extension_push_from_substrate,Azevedo 2024 Appendix A1 p4; A17 pp41-42,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,,0,False
male-cns:v1.0,male-cns:v1.0:819278,819278,Ta depressor MN,Ta depressor MN_L,front,fl,L,,T1,ProLN,vnc_motor,18554,Ta depressor MN,,,,,Traced,Reviewed,T1L,tibia-tarsus,extension_push_from_substrate,Azevedo 2024 Appendix A1 p4; A17 pp41-42,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:1050403926,1050403926,Ta depressor MN,Ta depressor MN_L,front,fl,L,,T1,ProLN,vnc_motor,15023,Ta depressor MN,,,,,Traced,Reviewed,T1L,tibia-tarsus,extension_push_from_substrate,Azevedo 2024 Appendix A1 p4; A17 pp41-42,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:1050660827,1050660827,Ta depressor MN,Ta depressor MN_L,front,fl,L,,T1,ProLN,vnc_motor,166374,Ta depressor MN,,,,,Traced,Reviewed,T1L,tibia-tarsus,extension_push_from_substrate,Azevedo 2024 Appendix A1 p4; A17 pp41-42,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Acc. ti flexor,1,False
male-cns:v1.0,male-cns:v1.0:1051062549,1051062549,Ta depressor MN,Ta depressor MN_L,front,fl,L,,T1,ProLN,vnc_motor,,Ta depressor MN,,,,,Traced,Reviewed,T1L,tibia-tarsus,extension_push_from_substrate,Azevedo 2024 Appendix A1 p4; A17 pp41-42,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,,0,False
male-cns:v1.0,male-cns:v1.0:810541,810541,Ta levator MN,Ta levator MN_L,front,fl,L,,T1,ProLN,vnc_motor,22358,Ta levator MN,,,,,Traced,Reviewed,T1L,tibia-tarsus,flexion_toward_substrate,Azevedo 2024 Appendix A1 p4; A17 pp41-42,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Ta levator,1,False
