direction,target_bodyId,target_type,observation_source,threshold,edge_count,weight,weightHP,weightHR,weight_fraction_of_t1,all_relationship_edges,excluded_missing_weight_edges,excluded_below1_edges
incoming,902427,IN19A013,additional,3,351,6384,5529,6384,0.9194872533486965,800,0,0
incoming,902427,IN19A013,additional,5,247,6043,5250,6043,0.870373037591819,800,0,0
incoming,902427,IN19A013,additional,10,163,5504,4795,5504,0.7927408901051418,800,0,0
incoming,912067,IN18B048,additional,1,92,287,242,287,1.0,92,0,0
incoming,912067,IN18B048,additional,3,32,217,189,217,0.7560975609756098,92,0,0
incoming,912067,IN18B048,additional,5,18,172,152,172,0.5993031358885017,92,0,0
incoming,912067,IN18B048,additional,10,5,80,69,80,0.2787456445993031,92,0,0
outgoing,10045,DNg100,additional,1,26759,51033,43132,51033,1.0,26759,0,0
outgoing,10045,DNg100,additional,3,2555,20865,17957,20865,0.40885309505614015,26759,0,0
outgoing,10045,DNg100,additional,5,741,15032,13164,15032,0.29455450394842553,26759,0,0
outgoing,10045,DNg100,additional,10,360,12641,11137,12641,0.2477024670311367,26759,0,0
outgoing,10056,DNg100,additional,1,27118,55262,46720,55262,1.0,27118,0,0
outgoing,10056,DNg100,additional,3,3099,24422,21056,24422,0.44193116427201334,27118,0,0
outgoing,10056,DNg100,additional,5,849,17181,15110,17181,0.31090079982628205,27118,0,0
outgoing,10056,DNg100,additional,10,411,14452,12784,14452,0.26151786037421737,27118,0,0
outgoing,10065,DNb05,additional,1,11525,22647,19527,22647,1.0,11525,0,0
outgoing,10065,DNb05,additional,3,1211,9819,8703,9819,0.43356735991522055,11525,0,0
outgoing,10065,DNb05,additional,5,403,7205,6501,7205,0.318143683490087,11525,0,0
outgoing,10065,DNb05,additional,10,200,5906,5371,5906,0.2607850929482934,11525,0,0
outgoing,10118,DNb05,additional,1,11300,22662,19537,22662,1.0,11300,0,0
outgoing,10118,DNb05,additional,3,1199,10117,8996,10117,0.4464301473832848,11300,0,0
outgoing,10118,DNb05,additional,5,396,7531,6814,7531,0.33231841849792604,11300,0,0
outgoing,10118,DNb05,additional,10,217,6396,5817,6396,0.282234577707175,11300,0,0
outgoing,10124,DNg105,previous_six,1,11806,22265,19369,22265,1.0,11806,0,0
outgoing,10124,DNg105,previous_six,3,927,9555,8490,9555,0.42914888838984955,11806,0,0
outgoing,10124,DNg105,previous_six,5,317,7559,6755,7559,0.33950145969009654,11806,0,0
outgoing,10124,DNg105,previous_six,10,139,6486,5808,6486,0.2913092297327644,11806,0,0
outgoing,10131,DNg74_a,additional,1,23174,42894,37369,42894,1.0,23174,0,0
outgoing,10131,DNg74_a,additional,3,1632,17627,15722,17627,0.4109432554669651,23174,0,0
outgoing,10131,DNg74_a,additional,5,715,14656,13174,14656,0.3416794889728167,23174,0,0
outgoing,10131,DNg74_a,additional,10,397,12575,11344,12575,0.2931645451578309,23174,0,0
outgoing,10360,DNa02,additional,1,11784,23488,19860,23488,1.0,11784,0,0
outgoing,10360,DNa02,additional,3,1343,10215,8847,10215,0.43490292915531337,11784,0,0
outgoing,10360,DNa02,additional,5,344,6984,6165,6984,0.2973433242506812,11784,0,0
outgoing,10360,DNa02,additional,10,159,5849,5184,5849,0.2490207765667575,11784,0,0
outgoing,10520,DNg74_b,additional,1,15835,30294,26098,30294,1.0,15835,0,0
outgoing,10520,DNg74_b,additional,3,1518,13098,11524,13098,0.43236284412755,15835,0,0
outgoing,10520,DNg74_b,additional,5,602,10120,8960,10120,0.33405954974582425,15835,0,0
outgoing,10520,DNg74_b,additional,10,301,8174,7297,8174,0.26982240707730903,15835,0,0
outgoing,10717,DNg93,additional,1,12057,25655,22315,25655,1.0,12057,0,0
outgoing,10717,DNg93,additional,3,1302,12660,11290,12660,0.49347105827324106,12057,0,0
outgoing,10717,DNg93,additional,5,441,9837,8849,9837,0.3834340284544923,12057,0,0
outgoing,10717,DNg93,additional,10,224,8498,7672,8498,0.3312414733969986,12057,0,0
outgoing,10734,DNg93,previous_six,1,10933,22786,19839,22786,1.0,10933,0,0
outgoing,10734,DNg93,previous_six,3,995,10984,9805,10984,0.4820503818133942,10933,0,0
outgoing,10734,DNg93,previous_six,5,358,8919,8001,8919,0.3914245589396998,10933,0,0
outgoing,10734,DNg93,previous_six,10,202,7957,7172,7957,0.3492056525936979,10933,0,0
outgoing,10760,DNa01,additional,1,11296,19688,17005,19688,1.0,11296,0,0
outgoing,10760,DNa01,additional,3,887,7123,6272,7123,0.36179398618447783,11296,0,0
outgoing,10760,DNa01,additional,5,266,5118,4554,5118,0.2599553027224705,11296,0,0
outgoing,10760,DNa01,additional,10,138,4309,3848,4309,0.2188642828118651,11296,0,0
outgoing,11067,DNb06,additional,1,6888,13518,11456,13518,1.0,6888,0,0
outgoing,11067,DNb06,additional,3,838,5930,5134,5930,0.43867436011244265,6888,0,0
outgoing,11067,DNb06,additional,5,276,4106,3624,4106,0.30374315727178575,6888,0,0
outgoing,11067,DNb06,additional,10,124,3163,2815,3163,0.2339843172066874,6888,0,0
outgoing,11074,DNg13,additional,1,8249,15479,13119,15479,1.0,8249,0,0
outgoing,11074,DNg13,additional,3,838,6241,5357,6241,0.4031914206344079,8249,0,0
outgoing,11074,DNg13,additional,5,228,4256,3707,4256,0.274953162348989,8249,0,0
outgoing,11074,DNg13,additional,10,101,3492,3086,3492,0.22559596873183022,8249,0,0
outgoing,13130,DNg105,additional,1,13023,25737,22410,25737,1.0,13023,0,0
outgoing,13130,DNg105,additional,3,1260,11843,10548,11843,0.4601546411780705,13023,0,0
outgoing,13130,DNg105,additional,5,422,9091,8162,9091,0.3532268718187823,13023,0,0
outgoing,13130,DNg105,additional,10,172,7563,6804,7563,0.29385709290127054,13023,0,0
outgoing,13805,DNg97,additional,1,14400,24627,20862,24627,1.0,14400,0,0
outgoing,13805,DNg97,additional,3,987,8555,7394,8555,0.34738295366873756,14400,0,0
outgoing,13805,DNg97,additional,5,346,6491,5702,6491,0.26357250172574814,14400,0,0
outgoing,13805,DNg97,additional,10,177,5440,4834,5440,0.2208957648109798,14400,0,0
outgoing,188093,"SApp06,SApp15",additional,1,761,1436,1194,1436,1.0,761,0,0
outgoing,188093,"SApp06,SApp15",additional,3,97,592,507,592,0.41225626740947074,761,0,0
outgoing,188093,"SApp06,SApp15",additional,5,40,401,351,401,0.27924791086350975,761,0,0
outgoing,188093,"SApp06,SApp15",additional,10,17,260,232,260,0.181058495821727,761,0,0
outgoing,230783,DNg97,additional,1,13440,25021,21169,25021,1.0,13440,0,0
outgoing,230783,DNg97,additional,3,1091,10005,8629,10005,0.39986411414411893,13440,0,0
outgoing,230783,DNg97,additional,5,384,7717,6748,7717,0.3084209264218057,13440,0,0
outgoing,230783,DNg97,additional,10,194,6557,5791,6557,0.26205986970944406,13440,0,0
outgoing,522975,ANXXX006,additional,1,8229,17171,14615,17171,1.0,8229,0,0
outgoing,522975,ANXXX006,additional,3,918,8147,7099,8147,0.4744627569739677,8229,0,0
outgoing,522975,ANXXX006,additional,5,275,6049,5351,6049,0.3522800069885272,8229,0,0
outgoing,522975,ANXXX006,additional,10,124,5118,4553,5118,0.29806068371090794,8229,0,0
outgoing,523769,DNa02,additional,1,11793,24134,20548,24134,1.0,11793,0,0
outgoing,523769,DNa02,additional,3,1498,11048,9569,11048,0.45777740946382695,11793,0,0
outgoing,523769,DNa02,additional,5,406,7509,6604,7509,0.31113781387254497,11793,0,0
outgoing,523769,DNa02,additional,10,174,6136,5432,6136,0.2542471202452971,11793,0,0
outgoing,800099,DNge079,additional,1,11660,25950,22661,25950,1.0,11660,0,0
outgoing,800099,DNge079,additional,3,1383,13402,11911,13402,0.5164547206165703,11660,0,0
outgoing,800099,DNge079,additional,5,491,10475,9360,10475,0.40366088631984587,11660,0,0
outgoing,800099,DNge079,additional,10,226,8850,7915,8850,0.34104046242774566,11660,0,0
outgoing,800347,IN21A001,additional,1,3509,6346,5740,6346,1.0,3509,0,0
outgoing,800347,IN21A001,additional,3,180,2493,2338,2493,0.3928458871730224,3509,0,0
outgoing,800347,IN21A001,additional,5,49,2070,1959,2070,0.3261897258115348,3509,0,0
outgoing,800347,IN21A001,additional,10,27,1929,1829,1929,0.30397100535770566,3509,0,0
outgoing,800452,IN19A016,additional,1,2347,4744,4165,4744,1.0,2347,0,0
outgoing,800452,IN19A016,additional,3,126,2259,2033,2259,0.4761804384485666,2347,0,0
outgoing,800452,IN19A016,additional,5,47,2003,1813,2003,0.4222175379426644,2347,0,0
outgoing,800452,IN19A016,additional,10,27,1869,1695,1869,0.39397133220910624,2347,0,0
outgoing,800461,IN19A003,additional,1,4532,8151,7187,8151,1.0,4532,0,0
outgoing,800461,IN19A003,additional,3,155,3239,2932,3239,0.3973745552692921,4532,0,0
outgoing,800461,IN19A003,additional,5,56,2917,2657,2917,0.35787019997546315,4532,0,0
outgoing,800461,IN19A003,additional,10,35,2783,2531,2783,0.34143049932523617,4532,0,0
outgoing,800527,IN19A005,additional,1,4945,9570,8537,9570,1.0,4945,0,0
outgoing,800527,IN19A005,additional,3,255,4280,3911,4280,0.44723092998955066,4945,0,0
outgoing,800527,IN19A005,additional,5,95,3767,3451,3767,0.3936259143155695,4945,0,0
outgoing,800527,IN19A005,additional,10,49,3478,3190,3478,0.3634273772204807,4945,0,0
outgoing,800596,IN19A003,additional,1,4540,8419,7422,8419,1.0,4540,0,0
outgoing,800596,IN19A003,additional,3,192,3478,3149,3478,0.41311319634160826,4540,0,0
outgoing,800596,IN19A003,additional,5,61,3054,2780,3054,0.36275092053688085,4540,0,0
outgoing,800596,IN19A003,additional,10,34,2881,2619,2881,0.34220216177693313,4540,0,0
outgoing,800622,IN19A003,additional,1,4268,7897,7004,7897,1.0,4268,0,0
outgoing,800622,IN19A003,additional,3,167,3307,3026,3307,0.41876662023553246,4268,0,0
outgoing,800622,IN19A003,additional,5,56,2944,2700,2944,0.37279979739141444,4268,0,0
outgoing,800622,IN19A003,additional,10,22,2728,2497,2728,0.3454476383436748,4268,0,0
outgoing,800650,IN21A001,additional,1,3113,6956,6100,6956,1.0,3113,0,0
outgoing,800650,IN21A001,additional,3,319,3448,3129,3448,0.49568717653824035,3113,0,0
outgoing,800650,IN21A001,additional,5,91,2701,2478,2701,0.3882978723404255,3113,0,0
outgoing,800650,IN21A001,additional,10,38,2374,2196,2374,0.3412880966072455,3113,0,0
outgoing,800687,IN19A003,previous_six,1,4038,7509,6641,7509,1.0,4038,0,0
outgoing,800687,IN19A003,previous_six,3,145,3166,2850,3166,0.42162738047676124,4038,0,0
outgoing,800687,IN19A003,previous_six,5,55,2884,2590,2884,0.38407244639765614,4038,0,0
outgoing,800687,IN19A003,previous_six,10,29,2726,2458,2726,0.3630310294313491,4038,0,0
outgoing,800736,IN03A010,previous_six,1,3933,8464,7269,8464,1.0,3933,0,0
outgoing,800736,IN03A010,previous_six,3,377,4052,3516,4052,0.4787334593572779,3933,0,0
outgoing,800736,IN03A010,previous_six,5,117,3205,2824,3205,0.37866257088846883,3933,0,0
outgoing,800736,IN03A010,previous_six,10,58,2845,2537,2845,0.3361294896030246,3933,0,0
outgoing,800892,IN06B013,additional,1,3627,7884,7043,7884,1.0,3627,0,0
outgoing,800892,IN06B013,additional,3,301,4230,3939,4230,0.5365296803652968,3627,0,0
outgoing,800892,IN06B013,additional,5,176,3808,3568,3808,0.48300355149670215,3627,0,0
